session_pitch,time,rear_ankle_angle_x,rear_ankle_angle_y,rear_ankle_angle_z,elbow_angle_x,elbow_angle_y,elbow_angle_z,rear_hip_angle_x,rear_hip_angle_y,rear_hip_angle_z,rear_knee_angle_x,rear_knee_angle_y,rear_knee_angle_z,shoulder_angle_x,shoulder_angle_y,shoulder_angle_z,wrist_angle_x,wrist_angle_y,wrist_angle_z,pelvis_angle_x,pelvis_angle_y,pelvis_angle_z,lead_ankle_angle_x,lead_ankle_angle_y,lead_ankle_angle_z,glove_elbow_angle_x,glove_elbow_angle_y,glove_elbow_angle_z,lead_hip_angle_x,lead_hip_angle_y,lead_hip_angle_z,lead_knee_angle_x,lead_knee_angle_y,lead_knee_angle_z,glove_shoulder_angle_x,glove_shoulder_angle_y,glove_shoulder_angle_z,glove_wrist_angle_x,glove_wrist_angle_y,glove_wrist_angle_z,torso_angle_x,torso_angle_y,torso_angle_z,torso_pelvis_angle_x,torso_pelvis_angle_y,torso_pelvis_angle_z,pkh_time,fp_10_time,fp_100_time,MER_time,BR_time,MIR_time
1031_2,0,102.3377,24.2866,3.0583,98.5992,0,30.0717,-25.8661,-1.2451,7.0128,27.844,0,0,12.4259,22.7779,-58.4626,38.1742,9.3926,0,7.6622,-2.8015,27.7062,102.1079,11.3623,5.6033,94.5544,0,8.107,-4.9008,-7.9745,5.8065,11.9799,0,0,3.6453,19.5396,-49.0371,19.3678,4.9938,0,3.1873,-3.2084,26.8249,4.5245,-0.4548,0.8562,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0028,102.4702,24.304,3.1173,98.2178,0,31.48,-26.0253,-1.4272,7.5562,28.0164,0,0,12.047,22.5434,-57.0537,34.3073,8.403,0,7.7359,-2.7928,27.648,102.2005,11.1547,6.0785,94.182,0,9.5443,-4.9486,-8.6767,6.0135,11.9937,0,0,3.4848,19.4373,-47.9766,16.017,3.5879,0,3.2001,-3.1894,26.7531,4.5859,-0.4455,0.8704,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0056,102.5925,24.3088,3.1824,97.8532,0,32.8288,-26.184,-1.5995,8.083,28.1834,0,0,11.6883,22.3205,-55.7072,30.6142,7.438,0,7.8115,-2.7838,27.588,102.2868,10.9414,6.526,93.8267,0,10.9121,-4.9969,-9.3478,6.2356,12.0007,0,0,3.3245,19.3388,-46.9532,12.7814,2.2164,0,3.2137,-3.1699,26.679,4.6484,-0.436,0.8849,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0083,102.6985,24.2957,3.2527,97.5209,0,34.0643,-26.3384,-1.754,8.5747,28.3388,0,0,11.3651,22.119,-54.4785,27.2491,6.5377,0,7.8881,-2.7744,27.5267,102.3627,10.7252,6.9253,93.5034,0,12.1557,-5.0448,-9.9593,6.4728,11.9981,0,0,3.1674,19.248,-46.0057,9.7989,0.9396,0,3.2278,-3.1501,26.6032,4.7113,-0.4266,0.8998,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0111,102.7835,24.2602,3.3269,97.2333,0,35.1428,-26.4854,-1.8843,9.0162,28.478,0,0,11.0893,21.9471,-53.4128,24.3383,5.7363,0,7.9646,-2.7646,27.4647,102.4249,10.5092,7.2601,93.2248,0,13.2308,-5.0916,-10.4879,6.7248,11.984,0,0,3.0157,19.1681,-45.1662,7.1847,-0.1908,0,3.2425,-3.1304,26.5263,4.7737,-0.4178,0.9152,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0139,102.845,24.1991,3.4035,96.9993,0,36.0337,-26.6228,-1.9859,9.397,28.5979,0,0,10.8688,21.8106,-52.5416,21.9707,5.0603,0,8.0406,-2.754,27.4026,102.4714,10.296,7.5192,92.9998,0,14.1069,-5.1371,-10.9171,6.9906,11.9576,0,0,2.8713,19.1011,-44.4575,5.0232,-1.1361,0,3.2576,-3.1108,26.4485,4.8352,-0.4099,0.9312,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0167,102.882,24.1105,3.481,96.8234,0,36.7215,-26.7495,-2.0564,9.7119,28.6968,0,0,10.7063,21.7123,-51.8806,20.1919,4.526,0,8.1156,-2.7425,27.3405,102.5015,10.0878,7.6974,92.833,0,14.7691,-5.1811,-11.2381,7.2686,11.9186,0,0,2.7354,19.0483,-43.8917,3.3616,-1.8732,0,3.273,-3.0917,26.3698,4.8954,-0.4035,0.9481,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0194,102.8962,23.9941,3.5577,96.7059,0,37.206,-26.8653,-2.0961,9.9611,28.7752,0,0,10.6,21.6525,-51.4291,19.0035,4.1395,0,8.1894,-2.7296,27.2786,102.5161,9.8865,7.7953,92.7248,0,15.2182,-5.2237,-11.4503,7.5565,11.8679,0,0,2.6088,19.0096,-43.4704,2.2091,-2.3954,0,3.2885,-3.0729,26.29,4.9542,-0.399,0.9662,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0222,102.8906,23.8512,3.6317,96.6428,0,37.5013,-26.9711,-2.1071,10.1497,28.8351,0,0,10.5435,21.6287,-51.1719,18.3664,3.897,0,8.2619,-2.715,27.2169,102.5171,9.6936,7.8196,92.6717,0,15.4697,-5.2653,-11.5602,7.8515,11.8075,0,0,2.4916,18.9842,-43.1849,1.5387,-2.7116,0,3.3041,-3.0547,26.2089,5.0119,-0.3967,0.9857,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.025,102.8701,23.6841,3.7012,96.6269,0,37.6328,-27.0686,-2.0935,10.2867,28.8799,0,0,10.5271,21.6363,-51.0813,18.2077,3.7859,0,8.3333,-2.6983,27.1553,102.5076,9.5103,7.7812,92.6667,0,15.5509,-5.3065,-11.581,8.15,11.7398,0,0,2.3837,18.9701,-43.0184,1.2931,-2.8446,0,3.3195,-3.0369,26.1259,5.0687,-0.3971,1.0069,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
